name,rarity,power,toughness,types,type,supertypes,subtypes,setCode,loyalty,life,text,cardParts,colorIdentity,edhrecRank,edhrecSaltiness,faceConvertedManaCost,faceManaValue,faceName,keywords,manaCost,manaValue
Mentor of the Meek,uncommon,2,2,Creature,Creature — Human Soldier,,"Human, Soldier",2X2,,,"Whenever another creature you control with power 2 or less enters, you may pay {1}. If you do, draw a card.",,W,503.0,0.15,,,,,{2}{W},3.0
Charmed Sleep,common,,,Enchantment,Enchantment — Aura,,Aura,AFR,,,"Enchant creature\nWhen this Aura enters, tap enchanted creature.\nEnchanted creature doesn't untap during its controller's untap step.",,U,14251.0,0.6,,,,Enchant,{1}{U}{U},3.0
Vampire Spawn,common,2,3,Creature,Creature — Vampire,,Vampire,AFR,,,"When this creature enters, each opponent loses 2 life and you gain 2 life.",,B,13580.0,,,,,,{2}{B},3.0
Evolving Wilds,common,,,Land,Land,,,AFR,,,"{T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.",,,16.0,,,,,,,0.0
Plains,common,,,Land,Basic Land — Plains,Basic,Plains,AFR,,,({T}: Add {W}.),,W,,0.45,,,,,,0.0
Island,common,,,Land,Basic Land — Island,Basic,Island,AFR,,,({T}: Add {U}.),,U,,0.64,,,,,,0.0
Swamp,common,,,Land,Basic Land — Swamp,Basic,Swamp,AFR,,,({T}: Add {B}.),,B,,0.48,,,,,,0.0
Mountain,common,,,Land,Basic Land — Mountain,Basic,Mountain,AFR,,,({T}: Add {R}.),,R,,0.51,,,,,,0.0
Forest,common,,,Land,Basic Land — Forest,Basic,Forest,AFR,,,({T}: Add {G}.),,G,,0.38,,,,,,0.0
Banishing Light,uncommon,,,Enchantment,Enchantment,,,AJMP,,,"When this enchantment enters, exile target nonland permanent an opponent controls until this enchantment leaves the battlefield.",,W,2288.0,0.32,,,,,{2}{W},3.0
Goblin Oriflamme,uncommon,,,Enchantment,Enchantment,,,AJMP,,,Attacking creatures you control get +1/+0.,,R,12562.0,0.09,,,,,{1}{R},2.0
Scorching Dragonfire,common,,,Instant,Instant,,,AJMP,,,"Scorching Dragonfire deals 3 damage to target creature or planeswalker. If that creature or planeswalker would die this turn, exile it instead.",,R,12029.0,0.38,,,,,{1}{R},2.0
Lightning Strike,uncommon,,,Instant,Instant,,,AJMP,,,Lightning Strike deals 3 damage to any target.,,R,4027.0,0.07,,,,,{1}{R},2.0
Rest in Peace,rare,,,Enchantment,Enchantment,,,AKR,,,"When this enchantment enters, exile all graveyards.\nIf a card or token would be put into a graveyard from anywhere, exile it instead.",,W,2196.0,1.37,,,,,{1}{W},2.0
Essence Scatter,common,,,Instant,Instant,,,AKR,,,Counter target creature spell.,,U,3432.0,0.51,,,,,{1}{U},2.0
Demonic Pact,mythic,,,Enchantment,Enchantment,,,AKR,,,"At the beginning of your upkeep, choose one that hasn't been chosen —\n• This enchantment deals 4 damage to any target and you gain 4 life.\n• Target opponent discards two cards.\n• Draw two cards.\n• You lose the game.",,B,9515.0,0.5,,,,,{2}{B}{B},4.0
Abrade,uncommon,,,Instant,Instant,,,AKR,,,Choose one —\n• Abrade deals 3 damage to target creature.\n• Destroy target artifact.,,R,159.0,0.15,,,,,{1}{R},2.0
Crash Through,common,,,Sorcery,Sorcery,,,AKR,,,Creatures you control gain trample until end of turn. (Each of those creature can deal excess combat damage to the player or planeswalker it's attacking.)\nDraw a card.,,R,2079.0,0.12,,,,,{R},1.0
Firebrand Archer,common,2,1,Creature,Creature — Human Archer,,"Human, Archer",AKR,,,"Whenever you cast a noncreature spell, this creature deals 1 damage to each opponent.",,R,1128.0,0.19,,,,,{1}{R},2.0
Vizier of the Menagerie,mythic,3,4,Creature,Creature — Snake Cleric,,"Snake, Cleric",AKR,,,You may look at the top card of your library any time.\nYou may cast creature spells from the top of your library.\nYou can spend mana of any type to cast creature spells.,,G,4209.0,0.38,,,,,{3}{G},4.0
Enigma Drake,uncommon,*,4,Creature,Creature — Drake,,Drake,AKR,,,Flying\nEnigma Drake's power is equal to the number of instant and sorcery cards in your graveyard.,,"R, U",12906.0,0.5,,,,Flying,{1}{U}{R},3.0
Evolving Wilds,common,,,Land,Land,,,AKR,,,"{T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.",,,16.0,,,,,,,0.0
Forest,common,,,Land,Basic Land — Forest,Basic,Forest,AKR,,,({T}: Add {G}.),,G,,0.38,,,,,,0.0
Island,common,,,Land,Basic Land — Island,Basic,Island,AKR,,,({T}: Add {U}.),,U,,0.64,,,,,,0.0
Mountain,common,,,Land,Basic Land — Mountain,Basic,Mountain,AKR,,,({T}: Add {R}.),,R,,0.51,,,,,,0.0
Plains,common,,,Land,Basic Land — Plains,Basic,Plains,AKR,,,({T}: Add {W}.),,W,,0.45,,,,,,0.0
Swamp,common,,,Land,Basic Land — Swamp,Basic,Swamp,AKR,,,({T}: Add {B}.),,B,,0.48,,,,,,0.0
Regal Caracal,rare,3,3,Creature,Creature — Cat,,Cat,AKR,,,"Other Cats you control get +1/+1 and have lifelink. (Damage dealt by those creatures also causes you to gain that much life.)\nWhen this creature enters, create two 1/1 white Cat creature tokens with lifelink.",,W,2720.0,0.07,,,,,{3}{W}{W},5.0
Plains,common,,,Land,Basic Land — Plains,Basic,Plains,ANA,,,({T}: Add {W}.),,W,,0.45,,,,,,0.0
Island,common,,,Land,Basic Land — Island,Basic,Island,ANA,,,({T}: Add {U}.),,U,,0.64,,,,,,0.0
Swamp,common,,,Land,Basic Land — Swamp,Basic,Swamp,ANA,,,({T}: Add {B}.),,B,,0.48,,,,,,0.0
