subtypes,toughness,type,name,rarity,historic,manaCost,power,text,types,alchemy,faceConvertedManaCost
"Human, Soldier",2,Creature — Human Soldier,Mentor of the Meek,uncommon,Legal,{2}{W},2,"Whenever another creature you control with power 2 or less enters, you may pay {1}. If you do, draw a card.",Creature,Legal,
Equipment,,Artifact — Equipment,+2 Mace,common,Legal,{1}{W},,Equipped creature gets +2/+2.\nEquip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.),Artifact,,
Pegasus,3,Creature — Pegasus,Arborea Pegasus,common,Legal,{3}{W},2,"Flying\nWhen this creature enters, target creature gets +1/+1 and gains flying until end of turn.",Creature,,
Dog,1,Creature — Dog,Blink Dog,uncommon,Legal,{2}{W},1,Double strike\nTeleport — {3}{W}: This creature phases out. (Treat it and anything attached to it as though they don't exist until your next turn.),Creature,,
,,Legendary Artifact,The Book of Exalted Deeds,mythic,Legal,{W}{W}{W},,"At the beginning of your end step, if you gained 3 or more life this turn, create a 3/3 white Angel creature token with flying.\n{W}{W}{W}, {T}, Exile The Book of Exalted Deeds: Put an enlightened counter on target Angel. It gains ""You can't lose the game and your opponents can't win the game."" Activate only as a sorcery.",Artifact,,
Unicorn,2,Creature — Unicorn,Celestial Unicorn,common,Legal,{2}{W},3,"Whenever you gain life, put a +1/+1 counter on this creature.",Creature,,
Class,,Enchantment — Class,Cleric Class,uncommon,Legal,{W},,"(Gain the next level as a sorcery to add its ability.)\nIf you would gain life, you gain that much life plus 1 instead.\n{3}{W}: Level 2\nWhenever you gain life, put a +1/+1 counter on target creature you control.\n{4}{W}: Level 3\nWhen this Class becomes level 3, return target creature card from your graveyard to the battlefield. You gain life equal to that creature's toughness.",Enchantment,,
Gargoyle,4,Artifact Creature — Gargoyle,Cloister Gargoyle,uncommon,,{2}{W},0,"When this creature enters, venture into the dungeon. (Enter the first room or advance to the next room.)\nAs long as you've completed a dungeon, this creature gets +3/+0 and has flying.","Artifact, Creature",,
Gargoyle,3,Artifact Creature — Gargoyle,A-Cloister Gargoyle,uncommon,Legal,{1}{W},0,"When Cloister Gargoyle enters, venture into the dungeon. (Enter the first room or advance to the next room.)\nAs long as you've completed a dungeon, Cloister Gargoyle gets +3/+0 and has flying.","Artifact, Creature",,
Equipment,,Artifact — Equipment,Dancing Sword,rare,Legal,{1}{W},,"Equipped creature gets +2/+1.\nWhen equipped creature dies, you may have this Equipment become a 2/1 Construct artifact creature with flying and ward {1}. If you do, it isn't an Equipment.\nEquip {1}",Artifact,,
"Human, Cleric",3,Creature — Human Cleric,Dawnbringer Cleric,common,,{1}{W},1,"When this creature enters, choose one —\n• Cure Wounds — You gain 2 life.\n• Dispel Magic — Destroy target enchantment.\n• Gentle Repose — Exile target card from a graveyard.",Creature,,
"Human, Cleric",4,Creature — Human Cleric,A-Dawnbringer Cleric,common,Legal,{1}{W},1,"When Dawnbringer Cleric enters, choose one —\n• Cure Wounds — You gain 2 life.\n• Dispel Magic — Destroy target enchantment.\n• Gentle Repose — Exile target card from a graveyard.",Creature,,
Equipment,,Artifact — Equipment,Delver's Torch,common,Legal,{1}{W},,"Equipped creature gets +1/+1.\nWhenever equipped creature attacks, venture into the dungeon. (Enter the first room or advance to the next room.)\nEquip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)",Artifact,,
"Orc, Knight",4,Creature — Orc Knight,Devoted Paladin,common,Legal,{4}{W},4,"Beacon of Hope — When this creature enters, creatures you control get +1/+1 and gain vigilance until end of turn.",Creature,,
,,Instant,Divine Smite,uncommon,Legal,{1}{W},,"Target creature or planeswalker an opponent controls phases out. If that permanent is black, exile it instead. (If it phases out, treat it and anything attached to it as though they don't exist until its controller's next turn.)",Instant,,
"Human, Monk",3,Creature — Human Monk,Dragon's Disciple,uncommon,Legal,{1}{W},1,"As this creature enters, you may reveal a Dragon card from your hand. If you do or if you control a Dragon, this creature enters with a +1/+1 counter on it.\nDragons you control have ward {1}. (Whenever a Dragon you control becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.)",Creature,,
"Dwarf, Warrior",1,Creature — Dwarf Warrior,Dwarfhold Champion,common,,{1}{W},3,"As long as this creature is equipped, it gets +0/+2.",Creature,,
"Dwarf, Warrior",1,Creature — Dwarf Warrior,A-Dwarfhold Champion,common,Legal,{1}{W},3,"Ward {1}\nAs long as Dwarfhold Champion is equipped, it gets +0/+2.",Creature,,
Jellyfish,4,Creature — Jellyfish,Flumph,rare,Legal,{1}{W},0,"Defender, flying\nWhenever this creature is dealt damage, you and target opponent each draw a card.",Creature,,
"Dwarf, Ranger",3,Creature — Dwarf Ranger,Gloom Stalker,common,Legal,{2}{W},2,"As long as you've completed a dungeon, this creature has double strike.",Creature,,
Bahamut,,Legendary Planeswalker — Bahamut,Grand Master of Flowers,mythic,Legal,{2}{W}{W},,"As long as Grand Master of Flowers has seven or more loyalty counters on him, he's a 7/7 Dragon God creature with flying and indestructible.\n[+1]: Target creature without first strike, double strike, or vigilance can't attack or block until your next turn.\n[+1]: Search your library and/or graveyard for a card named Monk of the Open Hand, reveal it, and put it into your hand. If you search your library this way, shuffle.",Planeswalker,,
"Spirit, Knight",2,Creature — Spirit Knight,Guardian of Faith,rare,Legal,{1}{W}{W},3,"Flash\nVigilance\nWhen this creature enters, any number of other target creatures you control phase out. (Treat them and anything attached to them as though they don't exist until their controller's next turn.)",Creature,,
"Human, Elf, Monk",4,Creature — Human Elf Monk,Half-Elf Monk,common,Legal,{3}{W},1,"Vigilance\nStunning Strike — {1}{W}, {T}: Tap target creature.",Creature,,
Dragon,3,Legendary Creature — Dragon,"Icingdeath, Frost Tyrant",mythic,Legal,{2}{W}{W},4,"Flying, vigilance\nWhen Icingdeath, Frost Tyrant dies, create Icingdeath, Frost Tongue, a legendary white Equipment artifact token with ""Equipped creature gets +2/+0,"" ""Whenever equipped creature attacks, tap target creature defending player controls,"" and equip {2}.",Creature,,
"Human, Artificer",1,Creature — Human Artificer,Ingenious Smith,uncommon,Legal,{1}{W},1,"When this creature enters, look at the top four cards of your library. You may reveal an artifact card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.\nWhenever one or more artifacts you control enter, put a +1/+1 counter on this creature. This ability triggers only once each turn.",Creature,,
"Human, Soldier",1,Creature — Human Soldier,Keen-Eared Sentry,uncommon,Legal,{1}{W},2,You have hexproof. (You can't be the target of spells or abilities your opponents control.)\nEach opponent can't venture into the dungeon more than once each turn.,Creature,,
Dog,1,Creature — Dog,Loyal Warhound,rare,Legal,{1}{W},3,"Vigilance\nWhen this creature enters, if an opponent controls more lands than you, search your library for a basic Plains card, put it onto the battlefield tapped, then shuffle.",Creature,,
Aura,,Enchantment — Aura,Minimus Containment,common,Legal,{2}{W},,"Enchant nonland permanent\nEnchanted permanent is a Treasure artifact with ""{T}, Sacrifice this artifact: Add one mana of any color,"" and it loses all other abilities. (If it was a creature, it's no longer a creature.)",Enchantment,,
"Elf, Monk",1,Creature — Elf Monk,Monk of the Open Hand,uncommon,Legal,{W},1,"Flurry of Blows — Whenever you cast your second spell each turn, put a +1/+1 counter on this creature.",Creature,,
"Human, Elf, Cleric",2,Creature — Human Elf Cleric,Moon-Blessed Cleric,uncommon,Legal,{2}{W},3,"Divine Intervention — When this creature enters, you may search your library for an enchantment card, reveal it, then shuffle and put that card on top.",Creature,,
"Dragon, Knight",3,Legendary Creature — Dragon Knight,"Nadaar, Selfless Paladin",rare,Legal,{2}{W},3,"Vigilance\nWhenever Nadaar enters or attacks, venture into the dungeon. (Enter the first room or advance to the next room.)\nOther creatures you control get +1/+1 as long as you've completed a dungeon.",Creature,,
"Gnome, Artificer",2,Legendary Creature — Gnome Artificer,Oswald Fiddlebender,rare,Legal,{1}{W},2,"Magical Tinkering — {W}, {T}, Sacrifice an artifact: Search your library for an artifact card with mana value equal to 1 plus the sacrificed artifact's mana value, put it onto the battlefield, then shuffle. Activate only as a sorcery.",Creature,,
Class,,Enchantment — Class,Paladin Class,rare,Legal,{W},,"(Gain the next level as a sorcery to add its ability.)\nSpells your opponents cast during your turn cost {1} more to cast.\n{2}{W}: Level 2\nCreatures you control get +1/+1.\n{4}{W}: Level 3\nWhenever you attack, until end of turn, target attacking creature gets +1/+1 for each other attacking creature and gains double strike.",Enchantment,,
Equipment,,Artifact — Equipment,Paladin's Shield,common,Legal,{1}{W},,"Flash\nWhen this Equipment enters, attach it to target creature you control.\nEquipped creature gets +0/+2.\nEquip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)",Artifact,,
Angel,3,Creature — Angel,Planar Ally,common,Legal,{3}{W}{W},3,"Flying\nWhenever this creature attacks, venture into the dungeon. (Enter the first room or advance to the next room.)",Creature,,
Equipment,,Artifact — Equipment,Plate Armor,uncommon,,{2}{W},,"Equipped creature gets +3/+3 and has ward {1}. (Whenever equipped creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.)\nEquip {3}. This ability costs {1} less to activate for each other Equipment you control. ({3}: Attach to target creature you control. Equip only as a sorcery.)",Artifact,,
Equipment,,Artifact — Equipment,A-Plate Armor,uncommon,Legal,{1}{W},,"Equipped creature gets +3/+3 and has ward {1}. (Whenever equipped creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.)\nEquip {3}. This ability costs {1} less to activate for each other Equipment you control.",Artifact,,
,,Artifact,Portable Hole,uncommon,Legal,{W},,"When this artifact enters, exile target nonland permanent an opponent controls with mana value 2 or less until this artifact leaves the battlefield.",Artifact,,
,,Artifact,Potion of Healing,common,Legal,{1}{W},,"When this artifact enters, draw a card.\n{W}, {T}, Sacrifice this artifact: You gain 3 life.",Artifact,,
"Dwarf, Cleric",1,Creature — Dwarf Cleric,Priest of Ancient Lore,common,Legal,{2}{W},2,"When this creature enters, you gain 1 life and draw a card.",Creature,,
,,Instant,Rally Maneuver,uncommon,Legal,{2}{W},,Target creature gets +2/+0 and gains first strike until end of turn. Up to one other target creature gets +0/+2 and gains lifelink until end of turn.,Instant,,
Bird,1,Creature — Bird,Ranger's Hawk,common,Legal,{W},1,"Flying\n{3}, {T}, Tap another untapped creature you control: Venture into the dungeon. Activate only as a sorcery. (Enter the first room or advance to the next room.)",Creature,,
"Dwarf, Knight",2,Creature — Dwarf Knight,Steadfast Paladin,common,Legal,{1}{W},2,Lifelink,Creature,,
,,Enchantment,Teleportation Circle,rare,Legal,{3}{W},,"At the beginning of your end step, exile up to one target artifact or creature you control, then return that card to the battlefield under its owner's control.",Enchantment,,
"Human, Warrior",4,Creature — Human Warrior,Veteran Dungeoneer,common,Legal,{3}{W},3,"When this creature enters, venture into the dungeon. (Enter the first room or advance to the next room.)",Creature,,
Dragon,4,Creature — Dragon,White Dragon,uncommon,Legal,{4}{W}{W},4,"Flying\nCold Breath — When this creature enters, tap target creature an opponent controls. That creature doesn't untap during its controller's next untap step.",Creature,,
,,Instant,You Hear Something on Watch,common,Legal,{1}{W},,Choose one —\n• Rouse the Party — Creatures you control get +1/+1 until end of turn.\n• Set Off Traps — This spell deals 5 damage to target attacking creature.,Instant,,
,,Instant,You're Ambushed on the Road,common,Legal,{W},,Choose one —\n• Make a Retreat — Return target creature you control to its owner's hand.\n• Stand and Fight — Target creature gets +1/+3 until end of turn.,Instant,,
"Human, Elf, Shaman",4,Creature — Human Elf Shaman,Aberrant Mind Sorcerer,uncommon,Legal,{4}{U},3,"Psionic Spells — When this creature enters, choose target instant or sorcery card in your graveyard, then roll a d20.\n1—9 | You may put that card on top of your library.\n10—20 | Return that card to your hand.",Creature,,
Elemental,5,Creature — Elemental,Air-Cult Elemental,common,Legal,{4}{U}{U},2,"Flying\nWhirlwind — When this creature enters, return up to one other target creature to its owner's hand.",Creature,,
"Elf, Wizard",1,Creature — Elf Wizard,Arcane Investigator,common,Legal,{1}{U},2,Search the Room — {5}{U}: Roll a d20.\n1—9 | Draw a card.\n10—20 | Look at the top three cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.,Creature,,
,,Instant,Bar the Gate,common,Legal,{2}{U},,Counter target creature or planeswalker spell. Venture into the dungeon. (Enter the first room or advance to the next room.),Instant,,
,,Legendary Artifact,The Blackstaff of Waterdeep,rare,Legal,{U},,"You may choose not to untap The Blackstaff of Waterdeep during your untap step.\nAnimate Walking Statue — {1}{U}, {T}: Another target nontoken artifact you control becomes a 4/4 artifact creature for as long as The Blackstaff of Waterdeep remains tapped. Activate only as a sorcery.",Artifact,,
Dragon,5,Creature — Dragon,Blue Dragon,uncommon,Legal,{5}{U}{U},5,"Flying\nLightning Breath — When this creature enters, until your next turn, target creature an opponent controls gets -3/-0, up to one other target creature gets -2/-0, and up to one other target creature gets -1/-0.",Creature,,
Aura,,Enchantment — Aura,Charmed Sleep,common,Legal,{1}{U}{U},,"Enchant creature\nWhen this Aura enters, tap enchanted creature.\nEnchanted creature doesn't untap during its controller's untap step.",Enchantment,Legal,
"Gnome, Wizard",3,Creature — Gnome Wizard,Clever Conjurer,common,Legal,{2}{U},2,Mage Hand — {T}: Untap target permanent not named Clever Conjurer. Activate only as a sorcery.,Creature,,
,,Instant,Contact Other Plane,common,Legal,{3}{U},,"Roll a d20.\n1—9 | Draw two cards.\n10—19 | Scry 2, then draw two cards.\n20 | Scry 3, then draw three cards.",Instant,,
"Skeleton, Wizard",3,Creature — Skeleton Wizard,Demilich,mythic,,{U}{U}{U}{U},4,"This spell costs {U} less to cast for each instant and sorcery spell you've cast this turn.\nWhenever this creature attacks, exile up to one target instant or sorcery card from your graveyard. Copy it. You may cast the copy.\nYou may cast this card from your graveyard by exiling four instant and/or sorcery cards from your graveyard in addition to paying its other costs.",Creature,,
"Skeleton, Wizard",4,Creature — Skeleton Wizard,A-Demilich,mythic,Legal,{U}{U}{U}{U},4,"This spell costs {U} less to cast for each instant and sorcery spell you've cast this turn.\nWhenever Demilich attacks, exile up to one target instant or sorcery card from your graveyard. Copy it. You may cast the copy.\nYou may cast Demilich from your graveyard by exiling four instant and/or sorcery cards from your graveyard in addition to paying its other costs.",Creature,,
"Cat, Beast",2,Creature — Cat Beast,Displacer Beast,uncommon,Legal,{2}{U},3,"When this creature enters, venture into the dungeon. (Enter the first room or advance to the next room.)\nDisplacement — {3}{U}: Return this creature to its owner's hand.",Creature,,
Djinn,3,Creature — Djinn,Djinni Windseer,common,Legal,{3}{U},3,"Flying\nWhen this creature enters, roll a d20.\n1—9 | Scry 1.\n10—19 | Scry 2.\n20 | Scry 3.",Creature,,
"Dragon, Turtle",5,Creature — Dragon Turtle,Dragon Turtle,rare,Legal,{1}{U}{U},3,"Flash\nDrag Below — When this creature enters, tap it and up to one target creature an opponent controls. They don't untap during their controllers' next untap steps.",Creature,,
"Tiefling, Wizard",2,Creature — Tiefling Wizard,Eccentric Apprentice,uncommon,Legal,{2}{U},2,"Flying\nWhen this creature enters, venture into the dungeon. (Enter the first room or advance to the next room.)\nAt the beginning of combat on your turn, if you've completed a dungeon, up to one target creature becomes a Bird with base power and toughness 1/1 and flying until end of turn.",Creature,,
"Gnome, Warlock",2,Creature — Gnome Warlock,Feywild Trickster,uncommon,Legal,{2}{U},2,"Whenever you roll one or more dice, create a 1/1 blue Faerie Dragon creature token with flying.",Creature,,
Aura,,Enchantment — Aura,Fly,uncommon,Legal,{U},,"Enchant creature\nEnchanted creature has flying and ""Whenever this creature deals combat damage to a player, venture into the dungeon."" (Enter the first room or advance to the next room.)",Enchantment,,
Horror,2,Legendary Creature — Horror,"Grazilaxx, Illithid Scholar",rare,Legal,{1}{U}{U},3,"Whenever a creature you control becomes blocked, you may return it to its owner's hand.\nWhenever one or more creatures you control deal combat damage to a player, draw a card.",Creature,,
"Orc, Rogue",1,Creature — Orc Rogue,Guild Thief,uncommon,Legal,{1}{U},1,"Whenever this creature deals combat damage to a player, put a +1/+1 counter on it.\nCunning Action — {3}{U}: This creature can't be blocked this turn.",Creature,,
Dragon,5,Legendary Creature — Dragon,"Iymrith, Desert Doom",mythic,Legal,{3}{U}{U},5,"Flying\nIymrith has ward {4} as long as it's untapped.\nWhenever Iymrith deals combat damage to a player, draw a card. Then if you have fewer than three cards in hand, draw cards equal to the difference.",Creature,,
Horror,3,Creature — Horror,Mind Flayer,rare,Legal,{3}{U}{U},3,"Dominate Monster — When this creature enters, gain control of target creature for as long as you control this creature.",Creature,,
Mordenkainen,,Legendary Planeswalker — Mordenkainen,Mordenkainen,mythic,Legal,{4}{U}{U},,"[+2]: Draw two cards, then put a card from your hand on the bottom of your library.\n[−2]: Create a blue Dog Illusion creature token with ""This token's power and toughness are each equal to twice the number of cards in your hand.""\n[−10]: Exchange your hand and library, then shuffle. You get an emblem with ""You have no maximum hand size.""",Planeswalker,,
,,Instant,Mordenkainen's Polymorph,common,Legal,{1}{U},,"Until end of turn, target creature becomes a Dragon with base power and toughness 4/4 and gains flying. (It loses all other creature types.)",Instant,,
Faerie,3,Creature — Faerie,Pixie Guide,common,Legal,{1}{U},1,"Flying\nGrant an Advantage — If you would roll one or more dice, instead roll that many dice plus one and ignore the lowest roll.",Creature,,
,,Sorcery,Power of Persuasion,uncommon,Legal,{2}{U},,"Choose target creature an opponent controls, then roll a d20.\n1—9 | Return it to its owner's hand.\n10—19 | Its owner puts it on their choice of the top or bottom of their library.\n20 | Gain control of it until the end of your next turn.",Sorcery,,
Aura,,Enchantment — Aura,Ray of Frost,uncommon,Legal,{1}{U},,"Flash\nEnchant creature\nWhen this Aura enters, if enchanted creature is red, tap it.\nAs long as enchanted creature is red, it loses all abilities.\nEnchanted creature doesn't untap during its controller's untap step.",Enchantment,,
"Giant, Warrior",5,Creature — Giant Warrior,Rimeshield Frost Giant,common,Legal,{3}{U}{U},4,"Ward {3} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {3}.)",Creature,,
"Tiefling, Shaman",1,Creature — Tiefling Shaman,Scion of Stygia,common,Legal,{2}{U},2,"Flash\nCone of Cold — When this creature enters, choose target creature an opponent controls, then roll a d20.\n1—9 | Tap that creature.\n10—20 | Tap that creature. It doesn't untap during its controller's next untap step.",Creature,,
Wall,4,Artifact Creature — Wall,Secret Door,common,Legal,{U},0,Defender\n{4}{U}: Venture into the dungeon. Activate only as a sorcery. (Enter the first room or advance to the next room.),"Artifact, Creature",,
,,Instant,Shocking Grasp,common,Legal,{1}{U},,Target creature gets -2/-0 until end of turn.\nDraw a card.,Instant,,
"Human, Rogue",5,Creature — Human Rogue,Shortcut Seeker,common,Legal,{3}{U},2,"Whenever this creature deals combat damage to a player, venture into the dungeon. (Enter the first room or advance to the next room.)",Creature,,
Bird,1,Artifact Creature — Bird,Silver Raven,common,Legal,{U},1,"Flying\nWhen this creature enters, scry 1. (Look at the top card of your library. You may put that card on the bottom.)","Artifact, Creature",,
"Elf, Rogue",2,Creature — Elf Rogue,Soulknife Spy,common,Legal,{2}{U},3,"Whenever this creature deals combat damage to a player, draw a card.",Creature,,
,,Sorcery,Split the Party,uncommon,Legal,{3}{U}{U},,"Choose target player. Return half the creatures they control to their owner's hand, rounded up.",Sorcery,,
,,Instant,Sudden Insight,uncommon,Legal,{4}{U}{U},,Draw a card for each different mana value among nonland cards in your graveyard.,Instant,,
,,Sorcery,Tasha's Hideous Laughter,rare,Legal,{1}{U}{U},,Each opponent exiles cards from the top of their library until that player has exiled cards with total mana value 20 or greater.,Sorcery,,
Equipment,,Artifact — Equipment,Trickster's Talisman,uncommon,Legal,{U},,"Invoke Duplicity — Equipped creature gets +1/+1 and has ""Whenever this creature deals combat damage to a player, you may sacrifice Trickster's Talisman. If you do, create a token that's a copy of this creature.""\nEquip {2}",Artifact,,
,,Instant,True Polymorph,rare,Legal,{4}{U}{U},,Target artifact or creature becomes a copy of another target artifact or creature.,Instant,,
Class,,Enchantment — Class,Wizard Class,uncommon,,{U},,"(Gain the next level as a sorcery to add its ability.)\nYou have no maximum hand size.\n{2}{U}: Level 2\nWhen this Class becomes level 2, draw two cards.\n{4}{U}: Level 3\nWhenever you draw a card, put a +1/+1 counter on target creature you control.",Enchantment,,
Class,,Enchantment — Class,A-Wizard Class,uncommon,Legal,{U},,"(Gain the next level as a sorcery to add its ability.)\nYou have no maximum hand size.\n{2}{U}: Level 2\nWhen this Class becomes level 2, draw two cards.\n{2}{U}: Level 3\nWhenever you draw a card, put a +1/+1 counter on target creature you control.",Enchantment,,
,,Artifact,Wizard's Spellbook,rare,Legal,{5}{U}{U},,{T}: Exile target instant or sorcery card from a graveyard. Roll a d20. Activate only as a sorcery.\n1—9 | Copy that card. You may cast the copy.\n10—19 | Copy that card. You may cast the copy by paying {1} rather than paying its mana cost.\n20 | Copy each card exiled with this artifact. You may cast any number of the copies without paying their mana costs.,Artifact,,
,,Instant,You Come to a River,common,,{1}{U},,Choose one —\n• Fight the Current — Return target nonland permanent to its owner's hand.\n• Find a Crossing — Target creature gets +1/+0 until end of turn and can't be blocked this turn.,Instant,,
,,Instant,You Find the Villains' Lair,common,Legal,{1}{U}{U},,"Choose one —\n• Foil Their Scheme — Counter target spell.\n• Learn Their Secrets — Draw two cards, then discard two cards.",Instant,,
,,Instant,You See a Guard Approach,common,Legal,{U},,Choose one —\n• Distract the Guard — Tap target creature.\n• Hide — Target creature you control gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.),Instant,,
"Snake, Rogue",1,Creature — Snake Rogue,Yuan-Ti Malison,rare,Legal,{1}{U},2,"This creature can't be blocked as long as it's attacking alone.\nWhenever this creature deals combat damage to a player, venture into the dungeon. (Enter the first room or advance to the next room.)",Creature,,
"Zombie, Wizard",5,Legendary Creature — Zombie Wizard,Acererak the Archlich,mythic,,{2}{B},5,"When Acererak enters, if you haven't completed Tomb of Annihilation, return Acererak to its owner's hand and venture into the dungeon.\nWhenever Acererak attacks, for each opponent, you create a 2/2 black Zombie creature token unless that player sacrifices a creature of their choice.",Creature,,
"Zombie, Wizard",5,Legendary Creature — Zombie Wizard,A-Acererak the Archlich,mythic,Legal,{2}{B},5,"When Acererak the Archlich enters, if you haven't completed Tomb of Annihilation, return Acererak the Archlich to its owner's hand and venture into the dungeon.\nWhenever Acererak the Archlich attacks, create a number of 2/2 black Zombie creature tokens equal to the number of opponents you have.",Creature,,
"Devil, God",6,Legendary Creature — Devil God,Asmodeus the Archfiend,rare,Legal,{4}{B}{B},6,"Binding Contract — If you would draw a card, exile the top card of your library face down instead.\n{B}{B}{B}: Draw seven cards.\n{B}: Return all cards exiled with Asmodeus to their owner's hand and you lose that much life.",Creature,,
Beholder,5,Creature — Beholder,Baleful Beholder,common,,{4}{B}{B},6,"When this creature enters, choose one —\n• Antimagic Cone — Each opponent sacrifices an enchantment of their choice.\n• Fear Ray — Creatures you control gain menace until end of turn. (A creature with menace can't be blocked except by two or more creatures.)",Creature,,
Dragon,4,Creature — Dragon,Black Dragon,uncommon,Legal,{5}{B}{B},4,"Flying\nAcid Breath — When this creature enters, target creature an opponent controls gets -3/-3 until end of turn.",Creature,,
,,Legendary Artifact,The Book of Vile Darkness,mythic,Legal,{B}{B}{B},,"At the beginning of your end step, if you lost 2 or more life this turn, create a 2/2 black Zombie creature token.\n{T}, Exile The Book of Vile Darkness and artifacts you control named Eye of Vecna and Hand of Vecna: Create Vecna, a legendary 8/8 black Zombie God creature token with indestructible and all triggered abilities of the exiled cards.",Artifact,,
,,Sorcery,Check for Traps,uncommon,Legal,{1}{B},,"Target opponent reveals their hand. You choose a nonland card from it. Exile that card. If an instant card or a card with flash is exiled this way, they lose 1 life. Otherwise, you lose 1 life.",Sorcery,,
Skeleton,3,Creature — Skeleton,Clattering Skeletons,common,Legal,{3}{B},4,"When this creature dies, venture into the dungeon. (Enter the first room or advance to the next room.)",Creature,,
